IdDaContaDeCobrança (BillingAccountId),NomeDaContaDeCobrança (BillingAccountName),DataDeInícioDoPeríodoDeCobrança (BillingPeriodStartDate),DataDeTérminoDoPeríodoDeCobrança (BillingPeriodEndDate),IdDoPerfilDeCobrança (BillingProfileId),NomeDoPerfilDeCobrança (BillingProfileName),Id de Proprietário de Conta (AccountOwnerId),Nome da Conta (AccountName),SubscriptionId (SubscriptionId),Nome da Assinatura (SubscriptionName),Data (Date),Produto (Product),PartNumber,Id do Medidor (MeterId),FamíliaDeServiços (ServiceFamily),Categoria do Medidor (MeterCategory),MeterSubcategory (MeterSubcategory),Região do Medidor (MeterRegion),Nome do Medidor (MeterName),Quantidade (Quantity),PreçoEmVigor (EffectivePrice),Custo (Cost),UnitPrice (UnitPrice),MoedaDeCobrança (BillingCurrency),Localização do Recurso (ResourceLocation),ZonaDeDisponibilidade (AvailabilityZone),Serviço Consumido (ConsumedService),ResourceId (ResourceId),NomeDoRecurso (ResourceName),Informações de Serviço 1 (ServiceInfo1),Informações de Serviço 2 (ServiceInfo2),Informações Adicionais (AdditionalInfo),Marcas (Tags),InvoiceSectionId (InvoiceSectionId),SeçãoDeFatura (InvoiceSection),Centro de Custo (CostCenter),Unidade de Medida (UnitOfMeasure),GrupoRecuso (ResourceGroup),IdDaReserva (ReservationId),NomeDaReserva (ReservationName),IdDoPedidoDoProduto (ProductOrderId),NomeDoPedidoDoProduto (ProductOrderName),OfferId (OfferId),ÉElegívelAoCréditoDoAzure (IsAzureCreditEligible),Termo (Term),PublisherName,PlanName,ChargeType (ChargeType),Frequência (Frequency),TipoDePublicador (PublisherType),PricingModel (PricingModel),PayGPrice (PayGPrice),InvoiceID (InvoiceID)
,,2022-10-27,2022-11-26,/subscriptions/cddbb6c1-10a6-43e5-abab-1fe67648bda4,Pago pelo Uso,,,cddbb6c1-10a6-43e5-abab-1fe67648bda4,Pago pelo Uso,2022-11-12,,,28339581-90e9-4bde-93d2-a61b4f2a0b5e,,Storage,Standard SSD Managed Disks,BR South,E10 Disks,0.033336,98.670178141480889,3.2892690585244071,,BRL,BR South,,Microsoft.Compute,/subscriptions/cddbb6c1-10a6-43e5-abab-1fe67648bda4/resourceGroups/DOMAIN_CONTROLLER/providers/Microsoft.Compute/disks/athon-srvadds_DataDisk_0,athon-srvadds_DataDisk_0,,,,,,,,1 /Month,DOMAIN_CONTROLLER,,,,,MS-AZR-0003P,,,,,Usage,UsageBased,Azure,OnDemand,,E0200L1P7V
,,2022-10-27,2022-11-26,/subscriptions/cddbb6c1-10a6-43e5-abab-1fe67648bda4,Pago pelo Uso,,,cddbb6c1-10a6-43e5-abab-1fe67648bda4,Pago pelo Uso,2022-11-21,,,28339581-90e9-4bde-93d2-a61b4f2a0b5e,,Storage,Standard SSD Managed Disks,BR South,E10 Disks,0.033336,98.670178141480889,3.2892690585244071,,BRL,BR South,,Microsoft.Compute,/subscriptions/cddbb6c1-10a6-43e5-abab-1fe67648bda4/resourceGroups/DOMAIN_CONTROLLER/providers/Microsoft.Compute/disks/athon-srvadds_DataDisk_0,athon-srvadds_DataDisk_0,,,,,,,,1 /Month,DOMAIN_CONTROLLER,,,,,MS-AZR-0003P,,,,,Usage,UsageBased,Azure,OnDemand,,E0200L1P7V
,,2022-10-27,2022-11-26,/subscriptions/cddbb6c1-10a6-43e5-abab-1fe67648bda4,Pago pelo Uso,,,cddbb6c1-10a6-43e5-abab-1fe67648bda4,Pago pelo Uso,2022-11-08,,,ce957933-8287-4f8b-83ee-53a5cbe056d9,,Storage,Standard SSD Managed Disks,,Disk Operations,3.3363,0.011005468800872,0.036717545560348,,BRL,BR South,,Microsoft.Compute,/subscriptions/cddbb6c1-10a6-43e5-abab-1fe67648bda4/resourceGroups/DOMAIN_CONTROLLER/providers/Microsoft.Compute/disks/athon-srvadds_disk1_157a0715429543d0975e1f415a8d0fb3,athon-srvadds_disk1_157a0715429543d0975e1f415a8d0fb3,,,,,,,,100000000,DOMAIN_CONTROLLER,,,,,MS-AZR-0003P,,,,,Usage,UsageBased,Azure,OnDemand,,E0200L1P7V
,,2022-10-27,2022-11-26,/subscriptions/cddbb6c1-10a6-43e5-abab-1fe67648bda4,Pago pelo Uso,,,cddbb6c1-10a6-43e5-abab-1fe67648bda4,Pago pelo Uso,2022-11-07,,,ce957933-8287-4f8b-83ee-53a5cbe056d9,,Storage,Standard SSD Managed Disks,,Disk Operations,0.5904,0.011005468800872,0.006497628780035,,BRL,BR South,,Microsoft.Compute,/subscriptions/cddbb6c1-10a6-43e5-abab-1fe67648bda4/resourceGroups/DOMAIN_CONTROLLER/providers/Microsoft.Compute/disks/athon-srvadds_DataDisk_0,athon-srvadds_DataDisk_0,,,,,,,,100000000,DOMAIN_CONTROLLER,,,,,MS-AZR-0003P,,,,,Usage,UsageBased,Azure,OnDemand,,E0200L1P7V
,,2022-10-27,2022-11-26,/subscriptions/cddbb6c1-10a6-43e5-abab-1fe67648bda4,Pago pelo Uso,,,cddbb6c1-10a6-43e5-abab-1fe67648bda4,Pago pelo Uso,2022-11-08,,,ce957933-8287-4f8b-83ee-53a5cbe056d9,,Storage,Standard SSD Managed Disks,,Disk Operations,0.005,0.011005468800872,0.000055027344004,,BRL,BR South,,Microsoft.Compute,/subscriptions/cddbb6c1-10a6-43e5-abab-1fe67648bda4/resourceGroups/DOMAIN_CONTROLLER/providers/Microsoft.Compute/disks/athon-srvadds_DataDisk_0,athon-srvadds_DataDisk_0,,,,,,,,100000000,DOMAIN_CONTROLLER,,,,,MS-AZR-0003P,,,,,Usage,UsageBased,Azure,OnDemand,,E0200L1P7V
,,2022-10-27,2022-11-26,/subscriptions/cddbb6c1-10a6-43e5-abab-1fe67648bda4,Pago pelo Uso,,,cddbb6c1-10a6-43e5-abab-1fe67648bda4,Pago pelo Uso,2022-11-07,,,ce957933-8287-4f8b-83ee-53a5cbe056d9,,Storage,Standard SSD Managed Disks,,Disk Operations,44.9961,0.011005468800872,0.4952031747109,,BRL,BR South,,Microsoft.Compute,/subscriptions/cddbb6c1-10a6-43e5-abab-1fe67648bda4/resourceGroups/DOMAIN_CONTROLLER/providers/Microsoft.Compute/disks/athon-srvadds_disk1_157a0715429543d0975e1f415a8d0fb3,athon-srvadds_disk1_157a0715429543d0975e1f415a8d0fb3,,,,,,,,100000000,DOMAIN_CONTROLLER,,,,,MS-AZR-0003P,,,,,Usage,UsageBased,Azure,OnDemand,,E0200L1P7V
,,2022-10-27,2022-11-26,/subscriptions/cddbb6c1-10a6-43e5-abab-1fe67648bda4,Pago pelo Uso,,,cddbb6c1-10a6-43e5-abab-1fe67648bda4,Pago pelo Uso,2022-10-29,,,9c150bf9-2bad-430e-a53c-c213804f49ef,,Virtual Network,IP Addresses,,Standard IPv4 Static Public IP,24,0.027510094212651,0.660242261103634,,BRL,BR South,,Microsoft.Network,/subscriptions/cddbb6c1-10a6-43e5-abab-1fe67648bda4/resourceGroups/DOMAIN_CONTROLLER/providers/Microsoft.Network/publicIPAddresses/adfs-proxy,adfs-proxy,,,"{  ""IpAddress"": ""191.232.233.55"",  ""PlatformType"": ""V2-Agg""}",,,,,200 Hours,DOMAIN_CONTROLLER,,,,,MS-AZR-0003P,,,,,Usage,UsageBased,Azure,OnDemand,,E0200L1P7V
,,2022-10-27,2022-11-26,/subscriptions/cddbb6c1-10a6-43e5-abab-1fe67648bda4,Pago pelo Uso,,,cddbb6c1-10a6-43e5-abab-1fe67648bda4,Pago pelo Uso,2022-11-18,,,9c150bf9-2bad-430e-a53c-c213804f49ef,,Virtual Network,IP Addresses,,Standard IPv4 Static Public IP,24,0.027510094212651,0.660242261103634,,BRL,BR South,,Microsoft.Network,/subscriptions/cddbb6c1-10a6-43e5-abab-1fe67648bda4/resourceGroups/DOMAIN_CONTROLLER/providers/Microsoft.Network/publicIPAddresses/adfs-proxy,adfs-proxy,,,"{  ""IpAddress"": ""191.232.233.55"",  ""PlatformType"": ""V2-Agg""}",,,,,200 Hours,DOMAIN_CONTROLLER,,,,,MS-AZR-0003P,,,,,Usage,UsageBased,Azure,OnDemand,,E0200L1P7V
,,2022-10-27,2022-11-26,/subscriptions/cddbb6c1-10a6-43e5-abab-1fe67648bda4,Pago pelo Uso,,,cddbb6c1-10a6-43e5-abab-1fe67648bda4,Pago pelo Uso,2022-11-03,,,9c150bf9-2bad-430e-a53c-c213804f49ef,,Virtual Network,IP Addresses,,Standard IPv4 Static Public IP,24,0.027510094212651,0.660242261103634,,BRL,BR South,,Microsoft.Network,/subscriptions/cddbb6c1-10a6-43e5-abab-1fe67648bda4/resourceGroups/DOMAIN_CONTROLLER/providers/Microsoft.Network/publicIPAddresses/adfs-proxy,adfs-proxy,,,"{  ""IpAddress"": ""191.232.233.55"",  ""PlatformType"": ""V2-Agg""}",,,,,200 Hours,DOMAIN_CONTROLLER,,,,,MS-AZR-0003P,,,,,Usage,UsageBased,Azure,OnDemand,,E0200L1P7V
,,2022-10-27,2022-11-26,/subscriptions/cddbb6c1-10a6-43e5-abab-1fe67648bda4,Pago pelo Uso,,,cddbb6c1-10a6-43e5-abab-1fe67648bda4,Pago pelo Uso,2022-11-17,,,9c150bf9-2bad-430e-a53c-c213804f49ef,,Virtual Network,IP Addresses,,Standard IPv4 Static Public IP,22,0.027510094212651,0.605222072678331,,BRL,BR South,,Microsoft.Network,/subscriptions/cddbb6c1-10a6-43e5-abab-1fe67648bda4/resourceGroups/DOMAIN_CONTROLLER/providers/Microsoft.Network/publicIPAddresses/adfs-proxy,adfs-proxy,,,"{  ""IpAddress"": ""191.232.233.55"",  ""PlatformType"": ""V2-Agg""}",,,,,200 Hours,DOMAIN_CONTROLLER,,,,,MS-AZR-0003P,,,,,Usage,UsageBased,Azure,OnDemand,,E0200L1P7V
